"Brnd_Name","Year","Tot_Spndng"
Agamree,"2025 (Q1-Q3)",1353670.9
Agrylin,"2024 (Q1-Q4)",158726.4
Agrylin,"2025 (Q1-Q3)",121249.24
Aimovig Autoinjector,"2024 (Q1-Q4)",305625184
Aimovig Autoinjector,"2025 (Q1-Q3)",224861264
Airduo Digihaler,"2024 (Q1-Q4)",276639.34
Airduo Respiclick,"2024 (Q1-Q4)",257079.58
Airduo Respiclick,"2025 (Q1-Q3)",100548.4
Airsupra,"2024 (Q1-Q4)",24827278
Airsupra,"2025 (Q1-Q3)",81688728
Ajovy Autoinjector,"2024 (Q1-Q4)",71293144
Ajovy Autoinjector,"2025 (Q1-Q3)",63514908
Ajovy Autoinjector (3 Pack),"2024 (Q1-Q4)",8507288.0
Ajovy Autoinjector (3 Pack),"2025 (Q1-Q3)",6980549.5
Ajovy Syringe,"2024 (Q1-Q4)",22953968
Ajovy Syringe,"2025 (Q1-Q3)",16405219
Ak-Poly-Bac,"2024 (Q1-Q4)",190.02
Akeega,"2024 (Q1-Q4)",5748651.5
Akeega,"2025 (Q1-Q3)",5275302.0
Aklief,"2024 (Q1-Q4)",259556.05
Aklief,"2025 (Q1-Q3)",205085.53
Akten,"2024 (Q1-Q4)",1900.99
Akten,"2025 (Q1-Q3)",1982.48
Akynzeo,"2024 (Q1-Q4)",4764482.5
Akynzeo,"2024 (Q1-Q4)",353759.94
Akynzeo,"2025 (Q1-Q3)",257548.19
Akynzeo,"2025 (Q1-Q3)",3037940.8
Ala-Cort,"2024 (Q1-Q4)",9275.98
Ala-Cort,"2025 (Q1-Q3)",4428.34
Ala-Scalp,"2024 (Q1-Q4)",142652.81
Ala-Scalp,"2025 (Q1-Q3)",114766.05
Albendazole,"2024 (Q1-Q4)",6159912.0
Albendazole,"2025 (Q1-Q3)",2497685.2
Albuked-25,"2024 (Q1-Q4)",42794.59
Albuked-25,"2025 (Q1-Q3)",12971.32
Albumin (Human),"2024 (Q1-Q4)",17989.3
Albumin (Human),"2025 (Q1-Q3)",11277.41
Alburx,"2024 (Q1-Q4)",23988.65
Alburx,"2025 (Q1-Q3)",5731.52
Albutein,"2024 (Q1-Q4)",7991.23
Albutein,"2025 (Q1-Q3)",10294.93
Albuterol Sulfate,"2024 (Q1-Q4)",9877584.0
Albuterol Sulfate,"2025 (Q1-Q3)",7050652.5
Albuterol Sulfate HFA,"2024 (Q1-Q4)",552635136
Albuterol Sulfate HFA,"2025 (Q1-Q3)",390448288
Alclometasone Dipropionate,"2024 (Q1-Q4)",1836930.0
Alclometasone Dipropionate,"2025 (Q1-Q3)",487539.53
Alcohol Pads,"2024 (Q1-Q4)",9928449.0
Alcohol Pads,"2025 (Q1-Q3)",6888075.0
Alcohol Prep Pads,"2024 (Q1-Q4)",16819594
Alcohol Prep Pads,"2025 (Q1-Q3)",13000645
Alcohol Swab,"2024 (Q1-Q4)",86600.37
Alcohol Swab,"2025 (Q1-Q3)",61115.62
Alcohol Swabs,"2024 (Q1-Q4)",704813.94
Alcohol Swabs,"2025 (Q1-Q3)",620212.7
Alcohol Wipes,"2024 (Q1-Q4)",8599.38
Alcohol Wipes,"2025 (Q1-Q3)",2743.96
Aldactazide,"2024 (Q1-Q4)",1425.67
Aldactone,"2024 (Q1-Q4)",428586.6
